userID	displayName	sum(weight)
836	Neil Slater	875
64377	Erwan	729
28175	Media	703
45264	n1k31t4	622
924	Has QUIT--Anony-Mousse	502
29587	JahKnows	362
65131	Leevo	349
50727	David Masip	318
80885	Noah Weber	315
1330	Brian Spiering	313
71442	Peter	309
381	Emre	304
14675	ncasas	301
8878	Kasra Manshaei	301
55122	Ben Reiniger	282
40853	Toros91	277
-1	Community	260
14904	Jan van der Vegt	259
8820	Martin Thoma	259
38887	Valentin Calomme	227
67328	Esmailian	214
52291	Simon Larsson	205
86339	Carlos Mougan	199
23305	oW_	185
58341	"\"10xAI\""	185
21	Sean Owen	175
11097	Dawny33	160
2452	Aleksandr Blekh	159
23240	I_Play_With_Data	152
44456	TwinPenguins	150
84891	Sammy	150
34269	Djib2011	144
41771	Shamit Verma	139
54395	Bruno Lubascher	139
8560	D.W.	136
201	Tasos	133
52089	pcko1	132
9123	SmallChess	131
69822	Blenz	131
38892	Siong Thye Goh	131
91826	Donald S	126
9420	AN6U5	123
71218	Juan Esteban de la Calle	119
31434	StatsSorceress	112
4683	David Marx	111
51714	ignatius	111
13727	DaL	109
33551	Benji Albert	106
26562	timleathart	106
26019	ebrahimi	106
12515	Ryan Zotti	105
75152	zachdj	101
79227	Fnguyen	101
12473	jamesmf	100
30212	CalZ	96
66788	serali	95
75157	Oxbowerce	95
70066	Pedro Henrique Monforte	95
21024	Hima Varsha	94
84229	J.D.	93
23159	Skiddles	93
56354	fuwiak	88
15828	Imran	88
5091	Sreejithc321	87
85398	Piotr Rarus - Reinstate Monica	84
21608	Himanshu Rai	84
94457	Nicholas James Bailey	83
87185	SrJ	83
56714	BlackCurrant	83
303	lcrmorin	82
43077	Kari	81
106732	Shahriyar Mammadli	80
64876	The Great	79
27432	S van Balen	78
26394	Kiritee Gak	77
17696	Bashar Haddad	76
73441	vipin bansal	76
60503	Romain Reboulleau	75
35644	Aditya	74
18626	Constantinos	73
47832	DuttaA	73
33812	Pieter21	73
98614	shepan6	73
83791	German C M	72
53357	bkshi	72
74421	Fatemeh Asgarinejad	72
61418	Matthieu Brucher	72
68230	Victor Oliveira	71
50833	Mark.F	71
15412	enterML	71
41728	Elliot	71
16024	chmodsss	70
50406	thanatoz	69
45374	bradS	69
44139	Ankit Seth	68
65767	Dan Scally	68
1029	Nischal Hp	68
843	Franck Dernoncourt	66
45507	Elias Strehle	65
76883	matthiaw91	65
28628	Icyblade	65
14006	user12075	64
29217	El Burro	64
1279	ffriend	64
57453	keiv.fly	63
71219	aranglol	63
45610	Outcast	63
68023	Shubham Panchal	60
69478	etiennedm	59
51209	pythinker	58
2932	Thomas Cleberg	58
2576	Pablo Suau	58
33202	kbrose	56
43294	Tophat	56
17208	Robin	56
10814	Edmund	56
13736	user	55
67537	cvg	54
8013	girl101	54
26243	Dani Mesejo	54
98414	Graph4Me Consultant	52
2723	Hack-R	52
13413	Kyle.	52
41886	tom	52
27916	user1825567	52
2459	Paul	52
47376	prashant0598	52
54944	Matthew	51
16853	Ricardo Cruz	51
84626	Yohanes Alfredo	51
23204	hssay	51
50146	deepguy	51
27665	OmG	51
27983	yoav_aaa	51
73930	Dave	50
96574	nimar	50
104161	Oliver Foster	50
56922	Hunar	49
59171	Francesco Pegoraro	49
15527	K3---rnc	49
67412	georg-un	48
69670	MachineLearner	47
64596	Alireza Zolanvari	47
53479	mapto	46
29169	Ethan	46
45166	TitoOrt	46
13023	wacax	46
108	rapaio	45
63378	Yaroslaw Homenko	45
100269	Nikos M.	45
50534	qmeeus	45
29134	Vincenzo Lavorini	45
847	Nitesh	44
104626	mprouveur	44
49700	rnso	44
14360	Raghuram	44
10902	Abhishek Jaiswal	44
964	bogatron	44
97	IharS	43
14560	Grzegorz	43
47371	user3658307	43
19161	Hobbes	42
41525	Louis T	42
33603	Dan Carter	42
37363	Finn Williams	42
21254	lte__	42
12345	Arkan	42
101337	Javier TG	42
35679	Christos Karatsalos	41
989	marcodena	41
16538	Ryan	41
24885	George Pligoropoulos	41
25429	Carlton Banks	41
77900	Ilker Kurtulus	40
9793	Arun	40
65323	karthikeyan mg	40
93744	Rusoiba	40
14909	Make42	40
471	Spacedman	39
53812	Antonio Jurić	39
59004	shaifali Gupta	39
98121	Shiv	39
20492	MaxU	39
15569	parvij	39
5211	Viktor	38
67605	user145959	38
78443	Lana	38
101580	BeamsAdept	38
13518	SHASHANK GUPTA	38
24162	David Dale	38
80599	RonsenbergVI	38
29781	aivanov	38
58135	Gyan Ranjan	38
67050	Guillermo Mosse	37
3151	Hamideh	37
37822	Gegenwind	37
3314	user62198	37
44680	Srihari	37
75428	Jindřich	37
10620	Marmite Bomber	37
71297	fractalnature	37
96159	A Kareem	37
33838	Smith	37
58433	user10296606	36
676	stmax	36
11061	mnm	36
45217	Adam Oudad	36
21560	Hendrik	36
14913	TBSRounder	36
17290	HonzaB	36
70393	Naveen Kumar	35
5143	Javierfdr	35
43455	IS2057	34
38339	Juan Antonio Gomez Moriano	34
76754	Itamar Mushkin	34
65776	ranit.b	34
13481	FaCoffee	34
52300	Amitabh-G	34
37986	Volka	34
51129	N.IT	33
62114	gunes	33
43000	desertnaut	33
84	Rubens	33
13100	StatguyUser	33
31599	KHAN irfan	32
92050	Julio Jesus Luna	32
90006	pairon	32
62641	Astariul	32
61645	Dmytro Prylipko	32
103857	Soumya Kundu	32
89795	thereandhere1	32
12384	Stereo	31
548	indico	31
44114	mico	31
37184	Nuclear Hoagie	31
91724	Subhash C. Davar	31
13748	Mephy	31
24593	HEITZ	31
50363	Tom M.	31
32884	Gal Avineri	31
24895	R Hill	31
80072	Andrea Moro	31
15361	Diego	31
5041	Juan Leni	31
84576	Tinu	30
1156	shadowtalker	30
12867	Amir	30
42044	Andy M	30
44039	Fadi Bakoura	30
49590	Danny	30
684	Madison May	30
20372	Pieter	30
102852	hH1sG0n3	30
4621	Robert Smith	30
49914	Federico Caccia	29
57588	plpopk	29
609	MrMeritology	29
76546	"\"89f3a1c\""	29
57237	Rishabh Sharma	29
20618	Case Msee	29
26163	LUSAQX	29
75	Shagun Sodhani	29
41929	PyRsquared	29
18540	Sandeep S. Sandhu	28
39963	FrancoSwiss	28
25104	Laurens Meeus	28
71246	Ben	28
18434	Theudbald	28
23492	Escachator	28
74735	grochmal	28
3466	sheldonkreger	28
89545	Madhur Yadav	28
54096	jonnor	28
8517	Alex S Kinman	28
91465	Vincent Yong	27
61756	feynman	27
